uri,label,wkt
http://cgi.di.uoa.gr/witcher/resource/A_Bard_s_Beloved,A Bard's Beloved,POINT (409.57160176500616 -385.0673070054589)
http://cgi.di.uoa.gr/witcher/resource/A_Barnful_of_Trouble,A Barnful of Trouble,POINT (486.80385790143157 -190.12697153960457)
http://cgi.di.uoa.gr/witcher/resource/A_Greedy_God,A Greedy God,POINT (310.6793077886201 -392.28731943012014)
http://cgi.di.uoa.gr/witcher/resource/A_Surprise_Inheritance,A Surprise Inheritance,POINT (586.4619107913516 -184.8760534125782)
http://cgi.di.uoa.gr/witcher/resource/A_Tome_Entombed,A Tome Entombed,POINT (406.39917198036545 -136.41445486523057)
http://cgi.di.uoa.gr/witcher/resource/A_Walk_on_the_Waterfront,A Walk on the Waterfront,POINT (372.15880913234685 -162.12207486213055)
http://cgi.di.uoa.gr/witcher/resource/A_Warm_Welcome,A Warm Welcome,POINT (465.58139658349035 -174.5930054138182)
http://cgi.di.uoa.gr/witcher/resource/An_Unfortunate_Turn_of_Events,An Unfortunate Turn of Events,POINT (450.1568241823062 -312.6483945035534)
http://cgi.di.uoa.gr/witcher/resource/Apprentice,Apprentice,POINT (279.17379820322276 -346.3417858186393)
http://cgi.di.uoa.gr/witcher/resource/Apprentice,Apprentice,POINT (280.486527769281 -310.1323295676866)
http://cgi.di.uoa.gr/witcher/resource/Apprentice,Apprentice,POINT (301.3808066957077 -266.7028608920726)
http://cgi.di.uoa.gr/witcher/resource/Apprentice,Apprentice,POINT (302.6935362617659 -266.48407263677984)
http://cgi.di.uoa.gr/witcher/resource/Apprentice,Apprentice,POINT (313.74234344275595 -348.63906249921337)
http://cgi.di.uoa.gr/witcher/resource/Apprentice,Apprentice,POINT (314.3987082257851 -351.92088632860487)
http://cgi.di.uoa.gr/witcher/resource/Apprentice,Apprentice,POINT (586.6806990523613 -351.37391569037294)
http://cgi.di.uoa.gr/witcher/resource/Apprentice,Apprentice,POINT (587.0088814438759 -351.7020980733121)
http://cgi.di.uoa.gr/witcher/resource/Apprentice,Apprentice,POINT (626.3907684256226 -340.7626853086738)
http://cgi.di.uoa.gr/witcher/resource/Apprentice,Apprentice,POINT (626.8283449476419 -341.09086769161297)
http://cgi.di.uoa.gr/witcher/resource/At_the_Mercy_of_Strangers,At the Mercy of Strangers,POINT (360.78181955984223 -210.03670277124624)
http://cgi.di.uoa.gr/witcher/resource/Black_pearl,Black pearl,POINT (379.7070041371816 -145.16598507694118)
